NAM 1 Hum BME280,NAM 1 Hum SHT30,NAM 2 Hum BME280,NAM 2 Hum SHT30,NAM 1 Temp BME280,NAM 1 Temp SHT30,NAM 2 Temp BME280,NAM 2 Temp SHT30,Luftdaten 1 PM10,Luftdaten 2 PM10,NAM 1 PM10,NAM 2 PM10,Luftdaten 1 PM2.5,Luftdaten 2 PM2.5,NAM 1 PM2.5,NAM 2 PM2.5,Reference 1 PM10,Reference 2 PM10,Reference 3 PM10,Reference 1 PM2.5,Reference 2 PM2.5,Reference 3 PM2.5
27.27,30.7,27.4,31.06,26.89,26.56,26.76,26.33,2.86,3.81,3.32,3.88,1.22,0.8,1.02,0.82,37.9,21.3,15.3,10.6,2.6,2.9
23.87,27.27,26.22,29.73,28.78,28.24,26.82,26.37,3.66,3.16,4.38,5.08,1.47,1.03,1.44,1.1,40,18.8,14.9,10.7,1.6,2.7
20.58,24.72,26.08,29.36,31.24,29.99,26.48,26.15,3.92,4.45,4.76,5.34,1.61,1.22,1.56,1.26,42.8,20.7,15.6,11.1,2,2.8
19.53,23.7,28.36,32.12,32.45,31.21,25.56,25.06,3.47,3.96,4.36,5.06,2,1.23,1.81,1.52,43.2,21.1,18.7,11.9,2.6,3.6
25.93,29.18,30.34,34.23,26.77,26.19,24.31,23.83,4.51,4.37,4.73,5.83,2.43,1.55,2.01,1.74,41.9,19.5,16.6,12.9,3.3,3.8
29.43,32.99,31.88,35.85,24.59,24.03,23.38,22.98,4.84,5.19,4.96,6.44,2.55,1.57,2.13,1.82,42.9,20,17.1,13.5,4,4.3
34.47,37.89,35.42,39.57,22.39,21.96,22.04,21.61,5.23,5.62,5.52,6.38,2.36,1.47,1.97,1.62,39.2,21.3,18,13.6,4.6,4.7
37.6,41.01,37.51,41.65,20.78,20.39,20.8,20.4,4.94,4.98,4.57,6.56,2.04,1.33,1.68,1.36,51.4,59.4,22.1,15,7.6,5.2
39.49,43.06,39.66,43.93,19.83,19.44,19.66,19.22,5.31,6.23,6.91,7.09,2.5,1.72,2.23,1.76,42.7,24.2,20.4,13.9,4.2,4.8
40.87,44.27,40.5,44.83,18.83,18.54,18.83,18.39,5.11,6.23,5.63,7.08,2.49,1.63,2.11,1.72,33.7,20.7,17.8,13.3,4,4.8
43.35,47.12,42.92,47.47,17.88,17.5,17.86,17.41,4.11,5.13,4.87,5.53,2.13,1.38,1.81,1.46,29.6,15.7,13.6,11.6,3,4.2
46.52,50.15,45.71,50.59,16.85,16.51,16.9,16.43,3.47,3.75,3.74,4.11,1.56,0.85,1.25,1.01,16.8,13.5,10.6,9.5,2.6,3.6
48.37,52.45,47.62,52.69,16.01,15.6,16.04,15.6,3.17,3.96,3.51,4.49,1.57,0.98,1.25,0.98,17.3,10.3,8.9,8.8,2.2,3.2
50.29,55.63,50.66,55.82,15.46,14.85,15.33,14.85,3.9,3.97,3.87,4.02,1.79,1.06,1.37,1.02,15,10.5,7.6,8.7,2.4,3.1
53.03,58.42,54.39,59.61,14.82,14.24,14.46,13.93,3.58,4.31,4.2,4.71,1.93,1.16,1.51,1.13,24.3,10.5,9.1,10.7,2.2,3.3
54.28,59.24,55.88,61.3,14.94,14.61,14.44,14,4.6,4.64,4.22,5.84,2.27,1.38,1.7,1.35,23.2,10.7,10,9.9,2.4,3.6
50.91,55.44,52.96,58.37,16.18,15.91,15.28,14.94,10.61,6.5,11.31,6.81,2.9,1.48,2.54,1.49,32.4,10.9,10,12,2.7,4.1
41.91,46.51,45.12,50.34,18.52,18.15,16.9,16.54,4.43,5.03,4.71,6.14,1.84,1.09,1.57,1.29,37.5,14.9,13.9,13.5,3.3,4.8
37.14,41.19,40.78,45.38,20.47,20.07,18.43,18.15,4.35,6.08,5.39,6.46,1.7,1.57,1.46,1.45,37.2,14.3,12.8,12.8,3.1,4.2
32.19,35.71,35.47,39.12,21.36,21.02,19.6,19.48,4.53,5.43,5.29,6.54,1.73,1.17,1.48,1.2,40.7,15.6,12.4,14,3.2,4.3
29.74,33.04,32.86,36.57,22.11,21.79,20.26,20.03,3.79,4.58,4.41,6.21,1.76,1.2,1.44,1.18,44,18.8,13.3,13.2,3.6,4.2
30.44,33.55,33.43,36.95,21.85,21.59,20.31,20.07,4.55,6.91,5.33,7.36,1.98,1.52,1.69,1.37,38.4,16.4,13.1,13.8,3.3,3.9
28.16,30.95,30.19,33.57,22.51,22.28,21.29,21.06,4.34,8.64,4.79,7.89,1.78,3.25,1.49,2.5,39.8,18.3,12.3,14.9,4,4.1
25.92,28.59,29.01,32.14,23.01,22.74,20.94,20.77,4.23,7.09,4.47,6.57,1.77,2.58,1.48,1.48,34.3,17.7,12.8,11.9,4,3.7
25.69,28.31,29.24,32.26,23.39,23.14,21.1,20.94,4.28,4.69,5.42,5.53,1.74,1.19,1.56,1.19,41,17.2,13.5,13.2,3.3,3.6
25.7,28.49,29.28,32.43,23.54,23.15,21.24,20.96,3.59,4.37,5.12,6.13,1.61,1.01,1.4,1.2,38.3,17.1,13.6,12.9,3.4,3.7
25.07,27.85,28.59,31.57,23.22,22.76,20.85,20.57,3.25,3.96,3.77,4.92,1.52,0.88,1.25,1.05,46.2,21.7,13.6,13.4,3.7,3.7
20.32,23.75,27.63,30.66,27.25,26.19,21.32,21.03,2.53,3.09,3.47,4.26,1.28,0.8,1.21,0.9,41.4,16.1,12.1,12.8,2.6,3.2
26.26,28.84,29.48,32.87,22.19,21.86,20.45,20.06,2.62,2.68,3.17,3.99,1.31,0.78,1.17,0.89,34.2,14,17.2,11.8,2.2,5.3
29.05,32.19,31.89,35.27,21.37,20.89,20.02,19.7,2.69,3.11,3.71,4.47,1.49,0.9,1.25,1,31.3,17.3,10.3,11.8,2.7,2.9
34.06,36.97,34.85,38.71,19.49,19.17,19.19,18.73,2.85,2.91,3.59,4.38,1.59,0.88,1.24,1,38.2,16.3,12.6,12.4,2.7,3.3
39.58,42.55,39.45,43.82,18.18,17.89,18.12,17.66,3.41,3.06,4.02,4.46,1.62,0.84,1.25,1.06,38.5,16.9,12,13.2,3.1,3.4
44.79,48.03,44.76,49.42,16.75,16.43,16.58,16.16,2.86,2.89,3.06,4,1.76,1.03,1.41,1.13,35.5,20,14.6,13,3.4,3.7
44.79,48.75,45.33,50.21,16.31,15.84,16.1,15.67,2.26,2.47,2.54,2.85,1.43,0.81,1.15,0.82,23.2,10.9,7.5,10.5,2.7,2.6
45.02,49.31,45.38,50.37,15.72,15.2,15.63,15.19,2.76,2.71,2.19,3.05,1.57,0.86,1.13,0.93,29.1,8,6.2,10.6,2.5,2.7
47.11,51.7,47.23,52.45,15.05,14.52,15.05,14.6,2.5,2.6,2.24,3.08,1.6,0.9,1.19,0.93,16.7,7.4,6.6,8.8,2,2.9
50.05,55.68,50.82,55.59,14.35,13.71,14.2,13.69,2.94,2.65,2.7,2.96,1.84,1.02,1.35,0.97,11.5,9.9,5.8,8,3.3,2.8
52.48,59.25,54.18,59.11,13.82,13.11,13.68,13.14,3.71,3.8,3.1,4.02,2.08,1.25,1.52,1.17,12.2,8.7,7.2,8.2,3,3.3
55.5,59.06,57.5,60.15,13.56,14.69,13.31,14.45,4.26,4.15,3.82,4.02,2.59,1.59,1.86,1.4,18.5,6,6.4,9.7,2.1,3.5
55.06,58.55,58.07,58.67,14.28,14.06,13.52,14.69,4.13,4.3,4.08,4.35,2.7,1.62,2.06,1.56,18.1,6.8,7,10.2,3.1,3.8
50.68,55.38,53.05,56.78,16.09,15.75,15.25,15.05,4.17,4.75,4.78,5.36,2.55,1.59,2.03,1.66,27.7,7.3,8.3,12.3,3.7,4.4
43.12,46.57,46.47,50.96,18.62,18.66,17.26,17.11,3.75,5.41,4.21,5.5,1.98,1.38,1.63,1.38,41.4,13.5,10.3,14.4,4.9,4.6
40.2,43.28,42.6,46.75,19.53,19.61,18.72,18.67,4.3,5.36,4.73,5.44,2.06,1.52,1.68,1.5,40.5,14.8,10.5,13.6,3.7,4.1
